iter	Passed	Remaining
819	10639	2335
820	10652	2322
821	10663	2309
822	10674	2295
823	10687	2282
824	10700	2269
825	10713	2256
826	10726	2243
827	10740	2231
828	10753	2218
829	10766	2205
830	10779	2192
831	10793	2179
832	10804	2166
833	10816	2152
834	10831	2140
835	10843	2127
836	10857	2114
837	10871	2101
838	10884	2088
839	10896	2075
840	10911	2062
841	10925	2050
842	10937	2036
843	10951	2024
844	10964	2011
845	10979	1998
846	10991	1985
847	11005	1972
848	11017	1959
849	11029	1946
850	11042	1933
851	11056	1920
852	11068	1907
853	11080	1894
854	11093	1881
855	11107	1868
856	11119	1855
857	11131	1842
858	11144	1829
859	11156	1816
860	11169	1803
861	11183	1790
862	11196	1777
863	11209	1764
864	11222	1751
865	11235	1738
866	11248	1725
867	11261	1712
868	11274	1699
869	11286	1686
870	11299	1673
871	11311	1660
872	11323	1647
873	11337	1634
874	11349	1621
875	11362	1608
876	11375	1595
877	11387	1582
878	11399	1569
879	11413	1556
880	11426	1543
881	11439	1530
882	11452	1517
883	11465	1504
884	11478	1491
885	11493	1478
886	11505	1465
887	11517	1452
888	11530	1439
889	11543	1426
890	11557	1413
891	11570	1400
892	11584	1388
893	11597	1375
894	11610	1362
895	11623	1349
896	11638	1336
897	11650	1323
898	11663	1310
899	11676	1297
900	11688	1284
901	11702	1271
902	11717	1258
903	11730	1245
904	11743	1232
905	11755	1219
906	11770	1206
907	11782	1193
908	11795	1180
909	11809	1168
910	11821	1154
911	11834	1141
912	11847	1128
913	11860	1115
914	11871	1102
915	11882	1089
916	11895	1076
917	11907	1063
918	11920	1050
919	11934	1037
920	11949	1024
921	11963	1012
922	11976	999
923	11991	986
924	12004	973
925	12017	960
926	12030	947
927	12043	934
928	12058	921
929	12068	908
930	12081	895
931	12093	882
932	12106	869
933	12117	856
934	12129	843
935	12141	830
936	12154	817
937	12166	804
938	12179	791
939	12194	778
940	12210	765
941	12224	752
942	12236	739
943	12251	726
944	12264	713
945	12277	700
946	12290	687
947	12303	674
948	12314	661
949	12327	648
950	12340	635
951	12353	622
952	12366	609
953	12378	596
954	12391	583
955	12407	571
956	12420	558
957	12434	545
958	12445	532
959	12461	519
960	12473	506
961	12486	493
962	12497	480
963	12510	467
964	12523	454
965	12535	441
966	12549	428
967	12562	415
968	12574	402
969	12588	389
970	12601	376
971	12612	363
972	12626	350
973	12639	337
974	12653	324
975	12665	311
976	12677	298
977	12688	285
978	12699	272
979	12713	259
980	12725	246
981	12735	233
982	12746	220
983	12760	207
984	12773	194
985	12787	181
986	12799	168
987	12811	155
988	12824	142
989	12837	129
990	12851	116
991	12864	103
992	12876	90
993	12888	77
994	12901	64
995	12913	51
996	12925	38
997	12939	25
998	12952	12
999	12965	0
